// WANTED! FOR HALF-LIFE SPEECH SYSTEM SENTENCES. 28/11/00

//***********************
//****     Gunbelt   ****
//**** v1.1 10/10/00 ****
//***********************

//Player dies
HEV_DEAD0 voice/null

//Player recieves damage
HEV_DMG0 voice/gb_scratch
HEV_DMG1 voice/gb_tobone
HEV_DMG2 voice/gb_tasteblood
HEV_DMG3 voice/gb_scorpstg
HEV_DMG4 voice/gb_twisted
HEV_DMG5 voice/gb_greenstick
HEV_DMG6 voice/gb_leaking
HEV_DMG7 voice/gb_housecall

//players health is dropping
HEV_HLTH0 voice/gb_hdrop0
HEV_HLTH1 voice/gb_hdrop1
HEV_HLTH2 voice/gb_hcrit
HEV_HLTH3 voice/gb_hkark

//********************************
//**** kaiewi Warriors 13/11 ****
//********************************

//KAIEWI Speech
KA_SPEAK0 kaiewi/k_dynamite0
KA_SPEAK1 kaiewi/k_dynamite1
KA_SPEAK2 kaiewi/k_dynamite2
KA_SPEAK3 kaiewi/k_alert0
KA_SPEAK4 kaiewi/k_alert1
KA_SPEAK5 kaiewi/k_alert2
KA_SPEAK6 kaiewi/k_alert0
KA_SPEAK7 kaiewi/k_alert1
KA_SPEAK8 kaiewi/k_alert2
KA_SPEAK9 kaiewi/k_cover0
KA_SPEAK10 kaiewi/k_cover1
KA_SPEAK11 kaiewi/k_throw0
KA_SPEAK12 kaiewi/k_throw1
KA_SPEAK13 kaiewi/k_taunt0
KA_SPEAK14 kaiewi/k_taunt1
KA_SPEAK15 kaiewi/k_taunt2
KA_SPEAK16 kaiewi/k_charge0
KA_SPEAK17 kaiewi/k_charge1
KA_SPEAK18 kaiewi/k_charge2
KA_SPEAK19 kaiewi/k_idle0
KA_SPEAK20 kaiewi/k_idle1
KA_SPEAK21 kaiewi/k_question0
KA_SPEAK22 kaiewi/k_question1
KA_SPEAK23 kaiewi/k_question2
KA_SPEAK24 kaiewi/k_question3
KA_SPEAK25 kaiewi/k_question4
KA_SPEAK26 kaiewi/k_answer0
KA_SPEAK27 kaiewi/k_answer1
KA_SPEAK28 kaiewi/k_answer2
KA_SPEAK29 kaiewi/k_clear0
KA_SPEAK30 kaiewi/k_clear1
KA_SPEAK31 kaiewi/k_clear2
KA_SPEAK32 kaiewi/k_clear3
KA_SPEAK33 kaiewi/k_check0
KA_SPEAK34 kaiewi/k_check1

//********************
//****  Hoss NPC  ****
//*** 1.2 21/08/00 ***
//********************

//When USED and told to follow
HO_OK0 hoss/okillcover
HO_OK1 hoss/imyourman
HO_OK2 hoss/surething
HO_OK3 hoss/rightbehind
HO_OK4 hoss/lendahand
HO_OK5 hoss/okmoveout
HO_OK6 hoss/gethellout

//When USED and told to stay
HO_WAIT0 hoss/keeplookout
HO_WAIT1 hoss/okillwait
HO_WAIT2 hoss/yellifihear
HO_WAIT3 hoss/illwaithere
HO_WAIT4 hoss/waitothers
HO_WAIT5 hoss/illwhistle

//Post masacre hellos
HO_HELLO0 hoss/hinicecoat
HO_HELLO1 hoss/howdy
HO_HELLO2 hoss/howdyboss
HO_HELLO3 hoss/heysheriff
HO_HELLO4 hoss/sheriff
HO_HELLO5 hoss/howdydo
HO_HELLO6 hoss/heythere

//Generic Post Masacre Hoss Questions
HO_QUESTION0 hoss/usewhisky
HO_QUESTION1 hoss/getoutalive
HO_QUESTION2 hoss/cantgetworse
HO_QUESTION3 hoss/goshshooting
HO_QUESTION4 hoss/madasramone
HO_QUESTION5 hoss/whatfellers
HO_QUESTION6 hoss/whatinblazes
HO_QUESTION7 hoss/aintscared
HO_QUESTION8 hoss/anycloser
HO_QUESTION9 hoss/youhearthat
HO_QUESTION10 hoss/reckontrue
HO_QUESTION11 hoss/sssshhhh
HO_QUESTION12 hoss/tellthinking
HO_QUESTION13 hoss/everbeenshot
HO_QUESTION14 hoss/maproudofme

// Generic Hoss Answers
HO_ANSWER0 hoss/noway
HO_ANSWER1 hoss/ireckon
HO_ANSWER2 hoss/soundsabout
HO_ANSWER3 hoss/yessiree
HO_ANSWER4 hoss/iguessso
HO_ANSWER5 hoss/soundsright
HO_ANSWER6 hoss/yep
HO_ANSWER7 hoss/iaintsure
HO_ANSWER8 hoss/betonit
HO_ANSWER9 hoss/wayiseeit
HO_ANSWER10 hoss/dontfigure
HO_ANSWER11 hoss/dontguesso
HO_ANSWER12 hoss/maybee
HO_ANSWER13 hoss/justdontknow
HO_ANSWER14 hoss/nope
HO_ANSWER15 hoss/nosirree
HO_ANSWER16 hoss/cantfigureit
HO_ANSWER17 hoss/maybenot
HO_ANSWER18 hoss/aintnotellin
HO_ANSWER19 hoss/quityappin
HO_ANSWER20 hoss/nosense
HO_ANSWER21 hoss/askalready

// Player is staring at Hoss
HO_STARE0 hoss/hmmm
HO_STARE1 hoss/whatyouthinkn
HO_STARE2 hoss/dirtonboots
HO_STARE3 hoss/heyup

// Hoss is idle Post masacre
HO_IDLE0 hoss/mariaprety
HO_IDLE1 hoss/sasparella
HO_IDLE2 hoss/bigolmess
HO_IDLE3 hoss/luckwilturn
HO_IDLE4 hoss/tune
HO_IDLE5 hoss/badfeelin
HO_IDLE6 hoss/ambush
HO_IDLE7 hoss/newboots
HO_IDLE8 hoss/hattoobig
HO_IDLE9 hoss/poetry
HO_IDLE10 hoss/triggerfinger

// Hoss is attacking something
HO_ATTACK0 hoss/shootem
